,KIE,PJP,XBI,XLV,KIE_vol,PJP_vol,XBI_vol,XLV_vol,cpi,unemployment,interest_rate,trends_flu_symptoms,trends_fever,trends_shortness_of_breath,wili,ili,num_ili,num_patients,nchs_deaths
2011-12-04,9.333781242370605,22.165668487548828,20.947834014892578,26.17792510986328,0.022901573129480483,0.01851338513225578,0.026329234131714445,0.019509576334248876,227.223,8.5,0.07,8,54,2,1.48139,1.51811,11187,736905,8769558.0
2011-12-11,9.47412395477295,22.280010223388672,20.614206314086914,26.420093536376953,0.017947802594626305,0.013907586265394255,0.013016478374461814,0.012467757993567427,227.223,8.5,0.07,8,54,2,1.63398,1.66429,12137,729258,8769558.0
2011-12-18,9.251893043518066,22.267223358154297,20.145856857299805,26.246164321899414,0.009699214592037667,0.010135055647448488,0.010418355417897696,0.008207276145257356,227.223,8.5,0.07,8,54,3,1.83126,1.85274,11958,645424,8769558.0
2011-12-25,9.63235092163086,23.151355743408203,21.05048942565918,27.33812713623047,0.016375844967133228,0.014073304280826872,0.01466857001657153,0.0076134690826343355,227.223,8.5,0.07,10,55,3,2.10451,2.12413,12356,581697,8769558.0
2012-01-01,9.56551742553711,23.06949234008789,21.300704956054688,27.2517032623291,0.009340889378794954,0.008939314564954415,0.012195191188540696,0.007700467125511808,227.842,8.3,0.08,10,57,3,1.73625,1.76709,11992,678631,8839734.0
2012-01-08,9.622074127197266,23.184114456176758,22.320833206176758,27.59737777709961,0.008689286091168202,0.006116456352508485,0.018033757351702272,0.007325782542118928,227.842,8.3,0.08,9,59,3,1.55066,1.5434,11543,747894,8839734.0
2012-01-15,9.822586059570312,23.609800338745117,23.67458152770996,27.83304214477539,0.00914483630387419,0.007441763943747193,0.010438126663667207,0.0042790087548930785,227.842,8.3,0.08,8,59,3,1.62891,1.64762,11939,724623,8839734.0
2012-01-22,10.110501289367676,23.79808235168457,23.539844512939453,28.16297721862793,0.0060763973590503735,0.006169717224836208,0.008234199318896778,0.0034105583179895324,227.842,8.3,0.08,9,59,3,1.76038,1.6843,13209,784244,8839734.0
2012-01-29,10.007674217224121,23.732595443725586,24.928884506225586,28.139419555664062,0.002714638050515768,0.0057228135039246895,0.022197194342621056,0.004816566753602264,227.842,8.3,0.08,9,63,3,1.92728,1.86354,14448,775298,8839734.0
2012-02-05,10.429265022277832,24.338397979736328,25.91372299194336,28.45364761352539,0.011460545215859,0.00802515323867736,0.016375749259680827,0.005511686553333502,228.329,8.3,0.1,9,63,3,1.91994,1.86408,14624,784516,8839734.0
2012-02-12,10.38813304901123,23.98638343811035,25.207971572875977,28.131561279296875,0.0051885890361474925,0.005125511521987257,0.014456939325994308,0.0039674324902528426,228.329,8.3,0.1,10,63,3,2.09951,2.01839,15929,789193,8839734.0
2012-02-19,10.560372352600098,24.019126892089844,25.230430603027344,28.469364166259766,0.006478592976225718,0.009373862082357536,0.022239243301910003,0.004749622154424719,228.329,8.3,0.1,11,64,4,2.23973,2.10385,16137,767022,8839734.0
2012-02-26,10.532095909118652,24.968751907348633,25.18552017211914,28.430072784423828,0.008285569474820764,0.0189685110475313,0.019372863211663996,0.005063595275182479,228.329,8.3,0.1,10,62,3,2.21921,2.09555,16518,788242,8839734.0
2012-03-04,10.48067855834961,25.157047271728516,24.70754051208496,28.52434539794922,0.004957321621733569,0.006854199702341746,0.007917382702453799,0.004563626042477396,228.807,8.2,0.13,9,72,3,2.16693,2.10398,15763,749198,8839734.0
2012-03-11,10.53980827331543,25.034242630004883,24.71395492553711,28.65005111694336,0.013139492090812737,0.01195225772622493,0.017416040040019058,0.009097473505322756,228.807,8.2,0.13,9,65,3,2.38913,2.2941,17150,747570,8839734.0
2012-03-18,10.763510704040527,25.196292877197266,25.175899505615234,29.09466552734375,0.01288891182743496,0.005950023872266172,0.009745111345526827,0.00623916110764105,228.807,8.2,0.13,8,63,3,1.96466,1.92223,14524,755579,8839734.0
2012-03-25,10.642430305480957,25.39287757873535,25.16947364807129,28.913061141967773,0.007581945012606049,0.005429044478390453,0.01102602062235006,0.0031257285875914403,228.807,8.2,0.13,6,59,3,1.84229,1.74239,13017,747079,8839734.0
2012-04-01,10.76866626739502,25.74510383605957,25.81106948852539,29.694721221923828,0.009250043719541466,0.00795656896543121,0.012586478121850684,0.007524079174953703,229.187,8.2,0.14,6,60,3,1.68674,1.67601,11930,711808,8839734.0
