date,flu symptoms,fever,shortness of breath
2022-08-21,3,49,3
2022-08-28,3,50,3
2022-09-04,3,48,3
2022-09-11,4,46,3
2022-09-18,4,46,3
2022-09-25,4,46,3
2022-10-02,5,49,3
2022-10-09,6,50,3
2022-10-16,8,52,3
2022-10-23,12,57,3
2022-10-30,15,63,3
2022-11-06,15,63,3
2022-11-13,15,65,3
2022-11-20,21,74,3
2022-11-27,21,70,3
2022-12-04,21,73,3
2022-12-11,22,72,3
2022-12-18,18,72,3
2022-12-25,16,68,3
2023-01-01,10,51,3
2023-01-08,7,48,3
2023-01-15,6,47,3
2023-01-22,5,47,3
2023-01-29,5,56,3
2023-02-05,5,52,3
2023-02-12,5,49,3
2023-02-19,5,50,3
2023-02-26,4,51,3
2023-03-05,4,49,3
2023-03-12,4,47,3
2023-03-19,4,49,3
2023-03-26,4,47,3
2023-04-02,3,48,3
2023-04-09,3,45,3
2023-04-16,3,46,3
2023-04-23,3,46,3
2023-04-30,3,43,3
2023-05-07,3,46,3
2023-05-14,3,46,3
2023-05-21,3,50,3
2023-05-28,3,47,3
2023-06-04,2,45,3
2023-06-11,2,45,3
2023-06-18,2,42,3
2023-06-25,2,44,3
2023-07-02,2,42,3
2023-07-09,2,41,3
2023-07-16,2,39,3
2023-07-23,2,39,3
2023-07-30,2,40,3
2023-08-06,2,42,3
2023-08-13,2,45,3
2023-08-20,3,45,3
2023-08-27,3,46,3
2023-09-03,4,45,3
2023-09-10,4,44,3
2023-09-17,4,44,3
2023-09-24,4,45,3
2023-10-01,5,44,3
2023-10-08,5,45,3
2023-10-15,5,48,3
2023-10-22,5,47,3
2023-10-29,5,47,3
2023-11-05,6,51,3
2023-11-12,7,50,3
2023-11-19,7,52,3
2023-11-26,8,53,3
2023-12-03,9,56,3
2023-12-10,12,64,3
2023-12-17,15,74,3
2023-12-24,16,75,3
2023-12-31,14,64,3
